run_id,task,probe,group,job_type,key,code_sha,git_sha,stage,created
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.5_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.5_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:13:06+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.5_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.5_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:33:44+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.95_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.95_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T16:52:52+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.95_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.95_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:13:28+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.95_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.95_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:34:03+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.99_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.99_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T16:51:57+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.99_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.99_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:12:20+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.99_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.99_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:32:43+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.9_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.9_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T16:52:37+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.9_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.9_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:13:07+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0.9_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0.9_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:33:43+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T16:52:45+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:13:17+00:00
